region,valid,gate,logvar,uncertainty,vote_x_m,vote_y_m,vote_z_m,vote_norm_m
20,1,1.0,-0.2102211,0.8104051,0.0012097113067284226,0.004161223769187927,0.01088353618979454,0.011714544
21,1,1.0,1.005736,2.7339187,0.0002682855702005327,0.004016882739961147,0.009799282997846603,0.010594021
22,1,1.0,0.9435945,2.5691998,0.0003945089119952172,0.00538499653339386,0.005342621356248856,0.0075958823
23,1,1.0,-0.4943233,0.60998356,0.0012296896893531084,0.0027181862387806177,0.009656085632741451,0.010106467
24,1,0.9999964,-1.7975183,0.16570963,-0.0015502811875194311,0.004496213048696518,0.028000621125102043,0.028401656
25,1,1.0,0.9101897,2.4847937,0.00030459027038887143,0.0045989337377250195,0.0019486278761178255,0.00500401
26,1,1.0,0.3311558,1.3925768,0.0029628120828419924,0.0035612459760159254,-0.007610970642417669,0.008909972
27,1,1.0,0.4834545,1.6216669,0.0038405880331993103,0.0049303509294986725,0.014141935855150223,0.015461333
28,1,0.99999976,1.9802485,7.2445426,0.00020228521316312253,0.0021949652582406998,0.008349097333848476,0.008635174
29,1,1.0,0.15318647,1.1655424,0.0036152780521661043,0.0029821472708135843,0.00225290609523654,0.0051999064
30,1,1.0,0.8705402,2.3882005,0.0034233469050377607,0.0055995602160692215,0.012397604994475842,0.0140276505
31,1,1.0,1.4776781,4.382757,0.0021580313332378864,0.00507971178740263,0.0005320754135027528,0.005544698
32,1,1.0,2.2894692,9.869698,0.0012291400926187634,0.005754571873694658,-0.003964089322835207,0.0070950612
33,1,1.0,1.5151452,4.5500817,0.0023652943782508373,0.005902660544961691,0.006658967584371567,0.00920749
34,1,1.0,2.474256,11.87287,0.0013346878113225102,-1.148571027442813e-05,0.005173351615667343,0.0053427606
35,1,0.9999989,4.0,54.59815,-0.0015628293622285128,0.0021119683515280485,-0.002109963446855545,0.0033696871
36,1,0.9999999,3.428731,30.837482,-9.774095815373585e-05,-0.0004351105308160186,-0.007420741021633148,0.007434129
37,1,1.0,3.7245972,41.454533,0.0004366654611658305,-0.0002923868887592107,0.0009298602817580104,0.0010680857
38,1,1.0,1.7452276,5.7272043,0.0009925360791385174,-0.0010053603909909725,-0.005566217936575413,0.005742705
39,1,0.99999905,2.7057507,14.965547,-0.00423012301325798,0.004841270390897989,0.007321483921259642,0.009743509
40,1,0.99999976,2.8205934,16.786808,-0.002047543413937092,0.0005039222305640578,0.01543191447854042,0.015575312
41,1,1.0,2.2224596,9.230004,0.0005678968736901879,-0.0004857935127802193,-0.008826933801174164,0.008858513
42,1,0.9999999,2.3330863,10.3097105,-0.0004158171941526234,-0.00043794821249321103,-0.008879820816218853,0.008900332
43,1,0.9999999,3.6142156,37.122215,-0.0015665063401684165,0.0006204419769346714,0.01222797017544508,0.012343506
44,1,1.0,2.021383,7.5487576,0.0009805923327803612,-0.00011766832903958857,-0.007240047678351402,0.007307099
45,1,1.0,2.2724478,9.703124,0.0007868417305871844,-0.0003971044789068401,-0.004478252958506346,0.0045641605
46,1,0.99999833,0.7074025,2.028715,-0.002762980293482542,0.00580339040607214,0.009759245440363884,0.01168573
47,1,0.99999964,0.41882402,1.5201727,-0.0019111869623884559,0.002790347905829549,0.017944222316145897,0.01826017
48,1,0.9999995,4.0,54.59815,-0.0027810826431959867,0.003437110921368003,0.004306084476411343,0.0061717513
49,1,0.99999964,1.5927814,4.9174075,-0.00040009437361732125,0.0016403694171458483,-0.004558486398309469,0.0048611406
50,1,1.0,4.0,54.59815,-0.00023543491261079907,-0.00020753878925461322,-0.0007061491487547755,0.00077275385
51,1,0.9999988,4.0,54.59815,0.0005789612769149244,-0.0019479070324450731,-0.0005478928214870393,0.002104691
52,1,0.9999999,4.0,54.59815,-0.0003254095499869436,-0.0002614508557599038,-0.002219604095444083,0.002258515
53,1,1.0,4.0,54.59815,0.00036685651866719127,-0.0005774041637778282,-0.0010345354676246643,0.0012402592
54,1,0.99999607,2.4835577,11.983824,-0.0017300037434324622,-0.007878923788666725,-0.0168894175440073,0.01871691
55,1,0.99999726,4.0,54.59815,-0.0008526077726855874,0.0038769221864640713,-0.0012802419951185584,0.0041709095
56,1,1.0,4.0,54.59815,0.0003762085107155144,-0.000610083166975528,-0.00020332870190031826,0.00074503483
57,1,1.0,4.0,54.59815,0.00011420233931858093,-0.0004104119725525379,-0.002610538387671113,0.002645069
58,1,1.0,1.3075124,3.6969657,-0.0013165693962946534,-0.000564180314540863,-0.016985662281513214,0.017045949
59,1,1.0,4.0,54.59815,0.0004049203416798264,-0.0005916405934840441,0.0006700746016576886,0.0009813252
60,1,1.0,4.0,54.59815,-5.263668208499439e-05,-0.000371967296814546,-0.0006390887429006398,0.0007413263
61,1,0.99999976,3.9727707,53.131535,3.0127184800221585e-05,-0.0030442888382822275,-0.010320196859538555,0.010759883
62,1,0.999997,4.0,54.59815,-0.001609564176760614,0.004994058050215244,-0.002530711470171809,0.0058254455
63,1,1.0,4.0,54.59815,0.00015555125719401985,-0.00041488822898827493,-0.001538496115244925,0.0016010305
64,1,1.0,4.0,54.59815,0.0003913235559593886,-0.00059577013598755,0.000687568390276283,0.0009903668
65,1,0.9999988,4.0,54.59815,-0.00022808350331615657,0.0031299267429858446,0.0030288216657936573,0.0043614474
66,1,1.0,4.0,54.59815,0.00016087802941910923,-0.00047261654981411994,7.791495590936393e-05,0.00050529087
67,1,0.999992,3.5499058,34.810036,-0.0008105217712000012,-0.000911270675715059,-0.012259772047400475,0.012320284
68,1,0.99999976,4.0,54.59815,0.000823844806291163,0.0009305134299211204,0.008226358331739902,0.0083197085
69,1,1.0,4.0,54.59815,0.0003712962206918746,-0.0005900958785787225,-0.0006039117579348385,0.00092237926
70,1,0.9999999,0.12597157,1.1342499,0.0009894712129607797,0.006461428478360176,0.001636309316381812,0.0067384434
71,1,0.99999917,-0.73477525,0.4796132,-0.0009830673225224018,0.004620108287781477,0.004987302236258984,0.0068691345
72,1,0.99999917,-1.123762,0.32505465,-0.001934468629769981,0.008397129364311695,0.017821433022618294,0.019795388
73,1,0.9999999,-0.4275155,0.6521273,0.001392857520841062,0.007921237498521805,0.01672125793993473,0.01855496
74,1,0.9999993,-0.76612675,0.4648099,5.183814573683776e-05,0.008375861681997776,0.01454983837902546,0.016788553
75,1,0.9999999,0.38134357,1.4642506,0.0013145115226507187,0.006093577016144991,0.010088568553328514,0.011859125
76,1,0.99999523,-1.7706373,0.17022449,0.00023836249602027237,0.009186568669974804,0.02062511444091797,0.022579752
77,1,0.9999995,-1.3745842,0.25294477,-0.0004240927519276738,0.006032598204910755,0.014431048184633255,0.015646957
78,1,0.9999962,-1.0782671,0.3401845,-0.0007007843814790249,0.0034085242077708244,0.01930082030594349,0.019612007
79,1,0.9999999,0.47642362,1.610305,-0.00023603433510288596,0.007903924211859703,0.01371772587299347,0.015833626
80,1,0.9999993,-1.1504027,0.31650928,-0.0006075110286474228,0.006852814927697182,0.011911293491721153,0.013755329
81,1,0.9999995,0.78655684,2.1958227,-0.00037613927270285785,0.005722871515899897,-0.0013111376902088523,0.005883181
82,1,0.99999976,-0.38151214,0.6828281,0.0014192082453519106,0.010370333679020405,0.019526420161128044,0.022154888
83,1,0.9999994,0.32351843,1.3819816,-1.3620805475511588e-05,0.007420094683766365,0.010114440694451332,0.012544317
84,1,0.99999964,0.66383797,1.9422323,-0.0019201845861971378,0.005441512446850538,0.009844610467553139,0.011411114
85,1,0.9999993,-0.87833,0.41547617,-0.00024710973957553506,0.007917572744190693,0.008531353436410427,0.011641865
86,1,0.9999993,4.0,54.59815,-0.0011525566224008799,-0.005184359382838011,0.0015665723476558924,0.005537158
87,1,0.99999976,0.12122224,1.1288757,-0.000792709004599601,0.0037972466088831425,0.004162406548857689,0.005689736
88,1,0.9999982,0.6847524,1.9832808,-0.0019599611405283213,0.00584267545491457,0.003658452071249485,0.007166769
89,1,1.0,1.1352799,3.1120443,0.0026332514826208353,0.004191758576780558,0.00913527887314558,0.010390292
90,1,0.99999976,0.95686084,2.6035109,-0.0016420999309048057,0.002392162336036563,-0.007339335046708584,0.00789207
91,1,1.0,1.9887381,7.306308,0.0022489111870527267,0.008956162258982658,0.011418774724006653,0.014685328
92,1,1.0,2.4951181,12.123165,0.0019006859511137009,-0.0008190530352294445,0.005551380105316639,0.005924633
93,1,0.9999999,-0.5221892,0.5932204,-0.0007750699878670275,0.007974455133080482,0.006202899385243654,0.010132553
94,1,0.99999905,-0.88968104,0.41078675,-0.0028155415784567595,0.009135764092206955,0.004237716551870108,0.010456945
95,1,1.0,1.5930352,4.9186554,0.0021068125497549772,0.008440082892775536,0.01535126008093357,0.017644683
