pixel_x,pixel_y,z_smpl_m,z_vggt_raw,scale_ratio,valid
244.0,112.0,9.23314094543457,0.9467848539352417,9.752099990844727,1
249.0,112.0,9.211039543151855,0.9495764970779419,9.700155258178711,1
293.0,112.0,8.579241752624512,0.8928708434104919,9.608603477478027,1
299.0,112.0,8.65703296661377,0.8877037763595581,9.752163887023926,1
321.0,112.0,8.652575492858887,0.8731488585472107,9.909622192382812,1
329.0,112.0,8.571303367614746,0.8715909123420715,9.834090232849121,1
231.0,113.0,9.084485054016113,0.9473404884338379,9.589461326599121,1
232.0,113.0,9.087679862976074,0.9475754499435425,9.590455055236816,1
233.0,113.0,9.092009544372559,0.9474930167198181,9.59585952758789,1
234.0,113.0,9.092844009399414,0.9471360445022583,9.600357055664062,1
235.0,113.0,9.093023300170898,0.9468232989311218,9.603716850280762,1
242.0,113.0,9.105133056640625,0.9462725520133972,9.622103691101074,1
288.0,113.0,8.6091890335083,0.8983209133148193,9.58364486694336,1
306.0,113.0,8.536828994750977,0.8811643123626709,9.68812370300293,1
311.0,113.0,8.521728515625,0.8776661157608032,9.70953369140625,1
316.0,113.0,8.499460220336914,0.8744534850120544,9.71973991394043,1
232.0,114.0,9.234920501708984,0.9477592706680298,9.743951797485352,1
234.0,114.0,9.245918273925781,0.9472467303276062,9.760833740234375,1
237.0,114.0,9.237709999084473,0.9465157985687256,9.759699821472168,1
292.0,114.0,8.70161247253418,0.8935477137565613,9.738273620605469,1
306.0,114.0,8.666321754455566,0.8811782598495483,9.834924697875977,1
225.0,115.0,9.112144470214844,0.9484005570411682,9.60790729522705,1
231.0,115.0,9.091471672058105,0.9474983811378479,9.595236778259277,1
232.0,115.0,9.246831893920898,0.9478887319564819,9.755187034606934,1
233.0,115.0,9.09984302520752,0.947654664516449,9.60248851776123,1
234.0,115.0,9.242302894592285,0.9472599625587463,9.756880760192871,1
235.0,115.0,9.240376472473145,0.946853756904602,9.759032249450684,1
236.0,115.0,9.23794937133789,0.9468457698822021,9.756551742553711,1
250.0,115.0,9.155914306640625,0.9525737762451172,9.611763954162598,1
285.0,115.0,8.640207290649414,0.9029508233070374,9.568857192993164,1
310.0,115.0,8.517659187316895,0.8780015110969543,9.701189994812012,1
317.0,115.0,8.660088539123535,0.8732357025146484,9.917240142822266,1
325.0,115.0,8.617177963256836,0.8708925843238831,9.89465045928955,1
226.0,116.0,9.213276863098145,0.947625994682312,9.722481727600098,1
231.0,116.0,9.08951187133789,0.9473528265953064,9.594642639160156,1
232.0,116.0,9.099520683288574,0.9475701451301575,9.603004455566406,1
234.0,116.0,9.237192153930664,0.9471060037612915,9.753070831298828,1
244.0,116.0,9.22638988494873,0.9473808407783508,9.738839149475098,1
247.0,116.0,9.126981735229492,0.9491658210754395,9.615792274475098,1
231.0,117.0,9.090468406677246,0.9473083019256592,9.59610366821289,1
233.0,117.0,9.242467880249023,0.9474623203277588,9.754971504211426,1
235.0,117.0,9.237372398376465,0.9468339085578918,9.756064414978027,1
245.0,117.0,9.121448516845703,0.9484244585037231,9.617474555969238,1
246.0,117.0,9.124029159545898,0.9490641355514526,9.613712310791016,1
248.0,117.0,9.152582168579102,0.9476529359817505,9.658158302307129,1
315.0,117.0,8.489511489868164,0.8740657567977905,9.712669372558594,1
319.0,117.0,8.655051231384277,0.8713504076004028,9.932916641235352,1
342.0,117.0,8.473854064941406,0.8710281848907471,9.728564262390137,1
